hobby_id,hobby_name,category,physical_demand,score,user_id,rank
2,Bird Watching,outdoor,low,3,15,4
1,Gardening,outdoor,low,3,15,5
8,Reading,indoor,low,5,16,1
9,Chess,indoor,low,5,16,2
7,Cooking,indoor,low,5,16,3
20,Card Games,social,low,4,16,4
14,Volunteering,social,low,4,16,5
20,Card Games,social,low,3,17,1
14,Volunteering,social,low,3,17,2
13,Book Club,social,low,3,17,3
3,Hiking,outdoor,high,2,17,4
18,Travel,social,medium,2,17,5
17,Music,creative,low,5,18,1
5,Painting,creative,low,5,18,2
6,Knitting,creative,low,5,18,3
16,Tai Chi,fitness,low,5,18,4
20,Card Games,social,low,4,18,5
19,Pottery,creative,medium,5,19,1
15,Woodworking,creative,medium,5,19,2
12,Dancing,social,medium,4,19,3
18,Travel,social,medium,4,19,4
5,Painting,creative,low,4,19,5
20,Card Games,social,low,6,20,1
14,Volunteering,social,low,6,20,2
13,Book Club,social,low,6,20,3
12,Dancing,social,medium,5,20,4
18,Travel,social,medium,5,20,5
1,Gardening,outdoor,low,5,21,1
15,Woodworking,creative,medium,5,21,2
4,Photography,outdoor,low,5,21,3
19,Pottery,creative,medium,5,21,4
2,Bird Watching,outdoor,low,5,21,5
1,Gardening,outdoor,low,6,22,1
4,Photography,outdoor,low,6,22,2
2,Bird Watching,outdoor,low,6,22,3
5,Painting,creative,low,5,22,4
6,Knitting,creative,low,5,22,5
5,Painting,creative,low,4,23,1
6,Knitting,creative,low,4,23,2
17,Music,creative,low,4,23,3
16,Tai Chi,fitness,low,4,23,4
11,Swimming,fitness,medium,3,23,5
7,Cooking,indoor,low,4,24,1
8,Reading,indoor,low,4,24,2
9,Chess,indoor,low,4,24,3
3,Hiking,outdoor,high,3,24,4
1,Gardening,outdoor,low,2,24,5
19,Pottery,creative,medium,5,25,1
18,Travel,social,medium,5,25,2
15,Woodworking,creative,medium,5,25,3
12,Dancing,social,medium,5,25,4
1,Gardening,outdoor,low,4,25,5
20,Card Games,social,low,5,26,1
5,Painting,creative,low,5,26,2
6,Knitting,creative,low,5,26,3
17,Music,creative,low,5,26,4
14,Volunteering,social,low,5,26,5
7,Cooking,indoor,low,5,27,1
8,Reading,indoor,low,5,27,2
9,Chess,indoor,low,5,27,3
20,Card Games,social,low,4,27,4
14,Volunteering,social,low,4,27,5
20,Card Games,social,low,3,28,1
3,Hiking,outdoor,high,3,28,2
14,Volunteering,social,low,3,28,3
13,Book Club,social,low,3,28,4
2,Bird Watching,outdoor,low,2,28,5
1,Gardening,outdoor,low,5,29,1
2,Bird Watching,outdoor,low,5,29,2
4,Photography,outdoor,low,5,29,3
3,Hiking,outdoor,high,4,29,4
18,Travel,social,medium,4,29,5
11,Swimming,fitness,medium,5,30,1
10,Yoga,fitness,medium,5,30,2
18,Travel,social,medium,4,30,3
16,Tai Chi,fitness,low,4,30,4
12,Dancing,social,medium,4,30,5
12,Dancing,social,medium,4,31,1
18,Travel,social,medium,4,31,2
7,Cooking,indoor,low,4,31,3
8,Reading,indoor,low,4,31,4
9,Chess,indoor,low,4,31,5
20,Card Games,social,low,4,32,1
14,Volunteering,social,low,4,32,2
13,Book Club,social,low,4,32,3
2,Bird Watching,outdoor,low,3,32,4
1,Gardening,outdoor,low,3,32,5
20,Card Games,social,low,5,33,1
14,Volunteering,social,low,5,33,2
7,Cooking,indoor,low,5,33,3
8,Reading,indoor,low,5,33,4
9,Chess,indoor,low,5,33,5
20,Card Games,social,low,5,34,1
14,Volunteering,social,low,5,34,2
13,Book Club,social,low,5,34,3
7,Cooking,indoor,low,5,34,4
8,Reading,indoor,low,5,34,5
20,Card Games,social,low,5,35,1
16,Tai Chi,fitness,low,5,35,2
14,Volunteering,social,low,5,35,3
13,Book Club,social,low,5,35,4
10,Yoga,fitness,medium,3,35,5
19,Pottery,creative,medium,5,36,1
15,Woodworking,creative,medium,5,36,2
18,Travel,social,medium,4,36,3
5,Painting,creative,low,4,36,4
6,Knitting,creative,low,4,36,5
8,Reading,indoor,low,5,37,1
9,Chess,indoor,low,5,37,2
7,Cooking,indoor,low,5,37,3
20,Card Games,social,low,4,37,4
14,Volunteering,social,low,4,37,5
20,Card Games,social,low,6,38,1
14,Volunteering,social,low,6,38,2
13,Book Club,social,low,6,38,3
12,Dancing,social,medium,5,38,4
18,Travel,social,medium,5,38,5
3,Hiking,outdoor,high,5,39,1
1,Gardening,outdoor,low,4,39,2
4,Photography,outdoor,low,4,39,3
16,Tai Chi,fitness,low,4,39,4
2,Bird Watching,outdoor,low,4,39,5
20,Card Games,social,low,7,40,1
14,Volunteering,social,low,7,40,2
13,Book Club,social,low,7,40,3
18,Travel,social,medium,5,40,4
16,Tai Chi,fitness,low,5,40,5
3,Hiking,outdoor,high,5,41,1
1,Gardening,outdoor,low,4,41,2
2,Bird Watching,outdoor,low,4,41,3
14,Volunteering,social,low,4,41,4
13,Book Club,social,low,4,41,5
20,Card Games,social,low,6,42,1
14,Volunteering,social,low,6,42,2
13,Book Club,social,low,6,42,3
18,Travel,social,medium,5,42,4
12,Dancing,social,medium,5,42,5
11,Swimming,fitness,medium,5,43,1
10,Yoga,fitness,medium,5,43,2
18,Travel,social,medium,4,43,3
16,Tai Chi,fitness,low,4,43,4
12,Dancing,social,medium,4,43,5
5,Painting,creative,low,4,44,1
6,Knitting,creative,low,4,44,2
17,Music,creative,low,4,44,3
20,Card Games,social,low,3,44,4
13,Book Club,social,low,3,44,5
12,Dancing,social,medium,7,45,1
18,Travel,social,medium,7,45,2
20,Card Games,social,low,6,45,3
14,Volunteering,social,low,6,45,4
13,Book Club,social,low,6,45,5
1,Gardening,outdoor,low,2,46,1
10,Yoga,fitness,medium,2,46,2
19,Pottery,creative,medium,2,46,3
18,Travel,social,medium,2,46,4
15,Woodworking,creative,medium,2,46,5
1,Gardening,outdoor,low,5,47,1
4,Photography,outdoor,low,5,47,2
2,Bird Watching,outdoor,low,5,47,3
3,Hiking,outdoor,high,4,47,4
10,Yoga,fitness,medium,2,47,5
7,Cooking,indoor,low,5,48,1
8,Reading,indoor,low,5,48,2
9,Chess,indoor,low,5,48,3
1,Gardening,outdoor,low,3,48,4
2,Bird Watching,outdoor,low,3,48,5
18,Travel,social,medium,7,49,1
12,Dancing,social,medium,7,49,2
20,Card Games,social,low,6,49,3
14,Volunteering,social,low,6,49,4
13,Book Club,social,low,6,49,5
1,Gardening,outdoor,low,5,50,1
2,Bird Watching,outdoor,low,5,50,2
16,Tai Chi,fitness,low,5,50,3
4,Photography,outdoor,low,5,50,4
14,Volunteering,social,low,4,50,5
